name,timing,taste,ingredients/0/ingredient,ingredients/0/amount,ingredients/0/unit,ingredients/1/ingredient,ingredients/1/amount,ingredients/1/unit,ingredients/2/ingredient,ingredients/2/amount,ingredients/2/unit,preparation,ingredients/3/ingredient,ingredients/3/amount,ingredients/3/unit,source,ingredients/4/ingredient,ingredients/4/amount,ingredients/4/unit
Gin fizz,Longdrink,Fresh,Gin,4.5,cl,Lemon juice,3,cl,Simple syrup,1,cl,Shaken,Soda water,8,cl,,,,
John Collins,Longdrink,Fresh,Gin,4.5,cl,Lemon juice,3,cl,Simple syrup,1.5,cl,Stirred,Soda water,6,cl,,,,
Tom Collins,Longdrink,Fresh,Old Tom Gin,4.5,cl,Lemon juice,3,cl,Simple syrup,1.5,cl,Stirred,Soda water,6,cl,,,,
Porto flip,After dinner,Unknown,Brandy,1.5,cl,Port wine,4.5,cl,Egg yolk,1,cl,Shaken,,,,,,,
Buttermilk maple gin flip,After dinner,Unknown,Gin,6,cl,Buttermilk,3,cl,Egg,1,whole,Shaken,Maple syrup,1,bar spoon,Serious eats,,,
Rusty nail,After dinner,Boozy,Scotch Whisky,4.5,cl,Drambuie,2.5,cl,,,,Stirred,,,,,,,
Sazerac,After dinner,Boozy,Cognac,5,cl,Absinthe,1,cl,Simple syrup,1,cl,Stirred,Peychaud's bitters,2,dashes,,,,
French connection,After dinner,Sweet,Cognac,3,cl,Amaretto,3,cl,,,,Stirred,,,,,,,
Godfather,After dinner,Sweet,Bourbon Whiskey,3,cl,Amaretto,3,cl,,,,Stirred,,,,,,,
Godmother,After dinner,Sweet,Vodka,3,cl,Amaretto,3,cl,,,,Stirred,,,,,,,
Vesper,Pre-dinner,Boozy,Gin,6,cl,Vodka,1.5,cl,Lillet Blanc,0.75,cl,Shaken,,,,,,,
Harvey Wallbanger,All day,Fresh,Vodka,4.5,cl,Galliano,1.5,cl,Orange juice,9,cl,Shaken,,,,,,,
Italian stinger,After dinner,Sweet,Brandy,3,cl,Galliano,3,cl,,,,Stirred,,,,,,,
Army and Navy,Pre-dinner,Fresh,Gin,6,cl,Lemon juice,2,cl,Orgeat,2,cl,Shaken,,,,,,,
Bee's Knees,Pre-dinner,Fresh,Gin,6,cl,Lemon juice,2,cl,Honey syrup,2,cl,Shaken,,,,,,,
Bijou,Pre-dinner,Fresh,Gin,3,cl,Green Chartreuse,3,cl,Sweet Vermouth,3,cl,Stirred,Orange bitters,1,dash,,,,
Gimlet,Pre-dinner,Sour,Gin,5,cl,Lime juice,1,cl,Simple syrup,1,cl,Shaken,,,,,,,
Martinez,Pre-dinner,Fresh,Gin,4,cl,Sweet Vermouth,4,cl,Maraschino,1,tsp,Stirred,Angostura bitters,1,dash,,,,
B and B,After dinner,Sweet,Brandy,3,cl,Benedictine,3,cl,,,,Stirred,,,,,,,
Milk and honey,After dinner,Sweet,Benedictine,3,cl,Milk,3,cl,,,,Stirred,,,,,,,
Derby cocktail,After dinner,Boozy,Bourbon Whiskey,6,cl,Benedictine,0.75,cl,Angustura,1,dash,Stirred,,,,,,,
Gypsy queen,After dinner,Unknown,Vodka,6,cl,Benedictine,3,cl,Angustura,2,dashes,Stirred,,,,,,,
Bobby Burns,After dinner,Sweet,Scotch Whisky,4,cl,Sweet Vermouth,4,cl,Benedictine,3,dashes,Stirred,,,,"The Savoy Cocktail Book, Harry Craddock (1930)",,,
Vieux carre,After dinner,Boozy,Cognac,2,cl,Rye Whiskey,2,cl,Sweet Vermouth,2,cl,Stirred,Benedictine,2,tsp,,,,
Chrysanthemum,All day,Unknown,Dry Vermouth,6,cl,Benedictine,3,cl,Absinthe,0.75,cl,Stirred,,,,,,,
Shaken drake,All day,Fresh,Kümmel,6,cl,Grapefruit juice,6,cl,Maple syrup,1,bar spoon,Shaken,,,,Liquid Intelligence,,,
Adriatique,All day,Fresh,Amaro Montenegro,3,cl,Orange juice,3,cl,Aperol,1.5,cl,Shaken,,,,,,,
Twentieth Century,All day,Fresh,Gin,4.5,cl,Lillet Blanc,2,cl,Light crème de cacao,1.5,cl,Shaken,Lemon juice,2,cl,,,,
Irish coffee,After dinner,Boozy,Irish Whiskey,4,cl,Coffee,9,cl,Fresh cream,3,cl,Stirred,,,,IBA,,,
Margarita,All day,Fresh,Tequila,5,cl,Triple Sec,2,cl,Lime juice,1.5,cl,Shaken,,,,IBA,,,
Enzoni,All day,Fresh,Gin,3,cl,Campari,3,cl,Lemon juice,2.2,cl,Shaken,Simple syrup,1.5,cl,,White grapes,5,whole
